id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venueName,venueLink,venueCity,venueTimeZoneId,venueTimeZoneOffset,venueTimeZoneTz,divisionId,divisionName,divisionLink,conferenceId,conferenceName,conferenceLink,franchiseFranchiseId,franchiseTeamName,franchiseLink,venueId,season,divisionNameShort,divisionAbbreviation
7,Buffalo Sabres,/api/v1/teams/7,BUF,Sabres,Buffalo,1970,Buffalo,http://www.sabres.com/,19,True,KeyBank Center,/api/v1/venues/5039,Buffalo,America/New_York,-5,EST,2,Northeast,/api/v1/divisions/2,1,Eastern,/api/v1/conferences/1,19,Sabres,/api/v1/franchises/19,5039.0,20112012,,
8,Montréal Canadiens,/api/v1/teams/8,MTL,Canadiens,Montréal,1917,Montréal,http://www.canadiens.com/,1,True,Bell Centre,/api/v1/venues/5028,Montréal,America/Montreal,-5,EST,2,Northeast,/api/v1/divisions/2,1,Eastern,/api/v1/conferences/1,1,Canadiens,/api/v1/franchises/1,5028.0,20112012,,
9,Ottawa Senators,/api/v1/teams/9,OTT,Senators,Ottawa,1992,Ottawa,http://www.ottawasenators.com/,30,True,Canadian Tire Centre,/api/v1/venues/5031,Ottawa,America/New_York,-5,EST,2,Northeast,/api/v1/divisions/2,1,Eastern,/api/v1/conferences/1,30,Senators,/api/v1/franchises/30,5031.0,20112012,,
10,Toronto Maple Leafs,/api/v1/teams/10,TOR,Maple Leafs,Toronto,1927,Toronto,http://www.mapleleafs.com/,5,True,Scotiabank Arena,/api/v1/venues/null,Toronto,America/Toronto,-5,EST,2,Northeast,/api/v1/divisions/2,1,Eastern,/api/v1/conferences/1,5,Maple Leafs,/api/v1/franchises/5,,20112012,,
12,Carolina Hurricanes,/api/v1/teams/12,CAR,Hurricanes,Carolina,1997,Carolina,http://www.carolinahurricanes.com/,26,True,PNC Arena,/api/v1/venues/5066,Raleigh,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,26,Hurricanes,/api/v1/franchises/26,5066.0,20112012,,
13,Florida Panthers,/api/v1/teams/13,FLA,Panthers,Florida,1993,Florida,http://www.floridapanthers.com/,33,True,FLA Live Arena,/api/v1/venues/5027,Sunrise,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,33,Panthers,/api/v1/franchises/33,5027.0,20112012,,
14,Tampa Bay Lightning,/api/v1/teams/14,TBL,Lightning,Tampa Bay,1992,Tampa Bay,http://www.tampabaylightning.com/,31,True,AMALIE Arena,/api/v1/venues/null,Tampa,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,31,Lightning,/api/v1/franchises/31,,20112012,,
15,Washington Capitals,/api/v1/teams/15,WSH,Capitals,Washington,1974,Washington,http://www.washingtoncapitals.com/,24,True,Capital One Arena,/api/v1/venues/5094,Washington,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,24,Capitals,/api/v1/franchises/24,5094.0,20112012,,
16,Chicago Blackhawks,/api/v1/teams/16,CHI,Blackhawks,Chicago,1926,Chicago,http://www.chicagoblackhawks.com/,11,True,United Center,/api/v1/venues/5092,Chicago,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,11,Blackhawks,/api/v1/franchises/11,5092.0,20112012,,
17,Detroit Red Wings,/api/v1/teams/17,DET,Red Wings,Detroit,1932,Detroit,http://www.detroitredwings.com/,12,True,Little Caesars Arena,/api/v1/venues/5145,Detroit,America/Detroit,-5,EST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,12,Red Wings,/api/v1/franchises/12,5145.0,20112012,,
